Time,Pedestrian1_X,Pedestrian1_Y,Pedestrian1_Z,Pedestrian2_X,Pedestrian2_Y,Pedestrian2_Z,Car1_X,Car1_Y,Car1_Z,Car2_X,Car2_Y,Car2_Z,Car3_X,Car3_Y,Car3_Z,Car4_X,Car4_Y,Car4_Z,Car5_X,Car5_Y,Car5_Z
0,9000,-45,0,10000,-45,0,7000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,6000,13000,-5111
5,9000,-45,0,10000,-45,0,6000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,5000,13000,-5111
10,9000,-45,0,10000,-45,0,5000,13000,-5111,6000,8000,-5111,7000,13000,-5111,8000,8000,-5111,4000,13000,-5111
15,9000,-45,0,10000,-45,0,4000,13000,-5111,5000,8000,-5111,6000,13000,-5111,8000,8000,-5111,3000,13000,-5111
20,9000,-45,0,10000,-45,0,3000,13000,-5111,4000,8000,-5111,5000,13000,-5111,8000,8000,-5111,2000,13000,-5111
25,9000,-45,0,10000,-45,0,2000,13000,-5111,3000,8000,-5111,4000,13000,-5111,8000,8000,-5111,1000,13000,-5111
30,9000,-45,0,10000,-45,0,1000,13000,-5111,2000,8000,-5111,3000,13000,-5111,6000,8000,-5111,0,13000,-5111
35,9000,-45,0,10000,-45,0,0,13000,-5111,1000,8000,-5111,2000,13000,-5111,4000,8000,-5111,19000,13000,-5111
40,9000,-45,0,10000,-45,0,19000,13000,-5111,1000,8000,-5111,1000,13000,-5111,2000,8000,-5111,18000,13000,-5111
45,9000,-45,0,10000,-45,0,18000,13000,-5111,0,8000,-5111,0,13000,-5111,0,8000,-5111,17000,13000,-5111
50,9000,-45,0,10000,-45,0,17000,13000,-5111,19000,8000,-5111,19000,13000,-5111,18000,8000,-5111,16000,13000,-5111
55,9000,-45,0,10000,-45,0,16000,13000,-5111,18000,8000,-5111,18000,13000,-5111,16000,8000,-5111,15000,13000,-5111
60,9000,-45,0,10000,-45,0,15000,13000,-5111,17000,8000,-5111,17000,13000,-5111,16000,8000,-5111,14000,13000,-5111
65,9000,-45,0,10000,-45,0,14000,13000,-5111,16000,8000,-5111,16000,13000,-5111,14000,8000,-5111,13000,13000,-5111
70,9000,-45,0,10000,-45,0,13000,13000,-5111,15000,8000,-5111,15000,13000,-5111,14000,8000,-5111,12000,13000,-5111
75,9000,-45,1000,10000,-45,1000,12000,13000,-5111,14000,8000,-5111,14000,13000,-5111,12000,8000,-5111,11000,13000,-5111
80,9000,-45,2000,10000,-45,2000,11000,13000,-5111,13000,8000,-5111,13000,13000,-5111,12000,8000,-5111,10000,13000,-5111
85,9000,-45,3000,10000,-45,3000,10000,13000,-5111,12000,8000,-5111,12000,13000,-5111,10000,8000,-5111,9000,13000,-5111
90,9000,-45,4000,10000,-45,4000,9000,13000,-5111,11000,8000,-5111,11000,13000,-5111,10000,8000,-5111,8000,13000,-5111
95,9000,-45,5000,10000,-45,5000,8000,13000,-5111,10000,8000,-5111,10000,13000,-5111,8000,8000,-5111,7000,13000,-5111
100,9000,-45,6000,10000,-45,6000,7000,13000,-5111,9000,8000,-5111,9000,13000,-5111,8000,8000,-5111,6000,13000,-5111
105,9000,-45,7000,10000,-45,7000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
110,9000,-45,8000,10000,-45,8000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
115,9000,-45,9000,10000,-45,9000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
120,9000,-45,10000,10000,-45,10000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
125,9000,-45,11000,10000,-45,11000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
130,9000,-45,12000,10000,-45,12000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
135,9000,-45,13000,10000,-45,13000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
140,9000,-45,14000,10000,-45,14000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
145,9000,-45,15000,10000,-45,15000,7000,13000,-5111,8000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
150,9000,-45,16000,10000,-45,16000,7000,13000,-5111,7000,8000,-5111,8000,13000,-5111,6000,8000,-5111,6000,13000,-5111
155,9000,-45,17000,10000,-45,17000,6000,13000,-5111,6000,8000,-5111,8000,13000,-5111,4000,8000,-5111,5000,13000,-5111
160,9000,-45,18000,10000,-45,18000,5000,13000,-5111,5000,8000,-5111,7000,13000,-5111,4000,8000,-5111,4000,13000,-5111
