Time,Pedestrian1_X,Pedestrian1_Y,Pedestrian1_Z,Pedestrian2_X,Pedestrian2_Y,Pedestrian2_Z,Car1_X,Car1_Y,Car1_Z,Car2_X,Car2_Y,Car2_Z,Car3_X,Car3_Y,Car3_Z,Car4_X,Car4_Y,Car4_Z,Car5_X,Car5_Y,Car5_Z
0,10000,0,0,10000,0,1000,1000,0,5000,5000,0,0,9000,0,5000,13000,0,0,18000,0,5000
1,10000,0,0,10000,0,1000,2000,0,5000,6000,0,0,10000,0,5000,14000,0,0,0,0,5000
2,10000,0,0,10000,0,1000,3000,0,5000,7000,0,0,11000,0,5000,15000,0,0,2000,0,5000
3,10000,0,0,10000,0,1000,4000,0,5000,8000,0,0,12000,0,5000,16000,0,0,2000,0,5000
4,10000,0,0,10000,0,1000,5000,0,5000,9000,0,0,13000,0,5000,17000,0,0,4000,0,5000
5,10000,0,0,10000,0,1000,6000,0,5000,10000,0,0,14000,0,5000,18000,0,0,4000,0,5000
6,10000,0,0,10000,0,1000,7000,0,5000,11000,0,0,15000,0,5000,19000,0,0,6000,0,5000
7,10000,0,0,10000,0,1000,8000,0,5000,12000,0,0,16000,0,5000,0,0,0,6000,0,5000
8,10000,0,0,10000,0,1000,9000,0,5000,13000,0,0,17000,0,5000,1000,0,0,8000,0,5000
9,10000,0,0,10000,0,1000,10000,0,5000,14000,0,0,18000,0,5000,2000,0,0,8000,0,5000
10,10000,0,0,10000,0,1000,11000,0,5000,15000,0,0,19000,0,5000,3000,0,0,10000,0,5000
11,10000,0,0,10000,0,1000,12000,0,5000,16000,0,0,0,0,5000,4000,0,0,10000,0,5000
12,10000,0,0,10000,0,1000,13000,0,5000,17000,0,0,1000,0,5000,5000,0,0,12000,0,5000
13,10000,0,0,10000,0,1000,14000,0,5000,18000,0,0,2000,0,5000,6000,0,0,12000,0,5000
14,10000,0,0,10000,0,1000,15000,0,5000,19000,0,0,3000,0,5000,7000,0,0,14000,0,5000
15,10000,0,0,10000,0,3000,16000,0,5000,0,0,0,4000,0,5000,8000,0,0,14000,0,5000
16,10000,0,1000,10000,0,5000,17000,0,5000,1000,0,0,5000,0,5000,8000,0,0,16000,0,5000
17,10000,0,2000,10000,0,7000,18000,0,5000,2000,0,0,6000,0,5000,8000,0,0,16000,0,5000
18,10000,0,3000,10000,0,9000,19000,0,5000,3000,0,0,7000,0,5000,8000,0,0,18000,0,5000
19,10000,0,4000,10000,0,11000,0,0,5000,4000,0,0,8000,0,5000,8000,0,0,0,0,5000
20,10000,0,5000,10000,0,13000,1000,0,5000,5000,0,0,8000,0,5000,8000,0,0,2000,0,5000
21,10000,0,6000,10000,0,15000,1000,0,5000,6000,0,0,8000,0,5000,8000,0,0,4000,0,5000
22,10000,0,7000,10000,0,17000,2000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
23,10000,0,8000,10000,0,0,3000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
24,10000,0,9000,10000,0,0,4000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
25,10000,0,10000,10000,0,2000,5000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
26,10000,0,11000,10000,0,4000,5000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
27,10000,0,12000,10000,0,6000,5000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
28,10000,0,13000,10000,0,8000,5000,0,5000,7000,0,0,8000,0,5000,8000,0,0,6000,0,5000
29,10000,0,13000,10000,0,8000,5000,0,5000,7000,0,0,9000,0,5000,9000,0,0,8000,0,5000
30,10000,0,13000,10000,0,8000,6000,0,5000,8000,0,0,10000,0,5000,10000,0,0,8000,0,5000
31,10000,0,13000,10000,0,8000,7000,0,5000,9000,0,0,11000,0,5000,11000,0,0,10000,0,5000
32,10000,0,13000,10000,0,8000,8000,0,5000,10000,0,0,12000,0,5000,12000,0,0,10000,0,5000
33,10000,0,13000,10000,0,8000,9000,0,5000,11000,0,0,13000,0,5000,13000,0,0,12000,0,5000
34,10000,0,13000,10000,0,8000,10000,0,5000,12000,0,0,14000,0,5000,14000,0,0,12000,0,5000
35,10000,0,13000,10000,0,8000,11000,0,5000,13000,0,0,15000,0,5000,15000,0,0,14000,0,5000
36,10000,0,13000,10000,0,8000,12000,0,5000,14000,0,0,16000,0,5000,16000,0,0,14000,0,5000
37,10000,0,13000,10000,0,8000,13000,0,5000,15000,0,0,17000,0,5000,17000,0,0,16000,0,5000
38,10000,0,13000,10000,0,8000,14000,0,5000,16000,0,0,18000,0,5000,18000,0,0,16000,0,5000
39,10000,0,13000,10000,0,8000,15000,0,5000,17000,0,0,19000,0,5000,19000,0,0,18000,0,5000
40,10000,0,13000,10000,0,8000,16000,0,5000,18000,0,0,0,0,5000,0,0,0,0,0,5000
41,10000,0,13000,10000,0,8000,17000,0,5000,19000,0,0,1000,0,5000,1000,0,0,2000,0,5000
42,10000,0,13000,10000,0,8000,18000,0,5000,0,0,0,1000,0,5000,2000,0,0,4000,0,5000
43,10000,0,13000,10000,0,8000,19000,0,5000,1000,0,0,2000,0,5000,3000,0,0,6000,0,5000
44,10000,0,14000,10000,0,10000,0,0,5000,2000,0,0,3000,0,5000,4000,0,0,8000,0,5000
45,10000,0,15000,10000,0,12000,1000,0,5000,3000,0,0,4000,0,5000,5000,0,0,8000,0,5000
46,10000,0,16000,10000,0,14000,2000,0,5000,4000,0,0,5000,0,5000,6000,0,0,8000,0,5000
47,10000,0,17000,10000,0,16000,3000,0,5000,5000,0,0,6000,0,5000,7000,0,0,8000,0,5000
48,10000,0,18000,10000,0,16000,4000,0,5000,6000,0,0,7000,0,5000,8000,0,0,8000,0,5000
49,10000,0,0,10000,0,18000,5000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
50,10000,0,0,10000,0,0,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
51,10000,0,1000,10000,0,0,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
52,10000,0,2000,10000,0,0,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
53,10000,0,3000,10000,0,2000,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
54,10000,0,4000,10000,0,2000,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
55,10000,0,5000,10000,0,4000,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
56,10000,0,6000,10000,0,4000,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
57,10000,0,7000,10000,0,6000,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
58,10000,0,8000,10000,0,6000,6000,0,5000,7000,0,0,7000,0,5000,8000,0,0,8000,0,5000
59,10000,0,8000,10000,0,6000,6000,0,5000,7000,0,0,7000,0,5000,9000,0,0,10000,0,5000
60,10000,0,8000,10000,0,6000,6000,0,5000,8000,0,0,8000,0,5000,10000,0,0,12000,0,5000
61,10000,0,8000,10000,0,6000,7000,0,5000,9000,0,0,9000,0,5000,11000,0,0,14000,0,5000
62,10000,0,8000,10000,0,6000,8000,0,5000,10000,0,0,10000,0,5000,12000,0,0,16000,0,5000
63,10000,0,8000,10000,0,6000,9000,0,5000,11000,0,0,11000,0,5000,13000,0,0,18000,0,5000
64,10000,0,8000,10000,0,6000,10000,0,5000,12000,0,0,12000,0,5000,14000,0,0,0,0,5000
65,10000,0,8000,10000,0,6000,11000,0,5000,13000,0,0,13000,0,5000,15000,0,0,2000,0,5000
66,10000,0,8000,10000,0,6000,12000,0,5000,14000,0,0,14000,0,5000,16000,0,0,4000,0,5000
67,10000,0,8000,10000,0,6000,13000,0,5000,15000,0,0,15000,0,5000,17000,0,0,6000,0,5000
68,10000,0,8000,10000,0,6000,14000,0,5000,16000,0,0,16000,0,5000,18000,0,0,8000,0,5000
69,10000,0,8000,10000,0,6000,15000,0,5000,17000,0,0,17000,0,5000,19000,0,0,10000,0,5000
70,10000,0,8000,10000,0,6000,16000,0,5000,18000,0,0,18000,0,5000,0,0,0,12000,0,5000
71,10000,0,8000,10000,0,6000,17000,0,5000,19000,0,0,19000,0,5000,1000,0,0,14000,0,5000
72,10000,0,8000,10000,0,6000,18000,0,5000,0,0,0,0,0,5000,2000,0,0,16000,0,5000
73,10000,0,8000,10000,0,6000,19000,0,5000,1000,0,0,1000,0,5000,3000,0,0,18000,0,5000
74,10000,0,9000,10000,0,8000,0,0,5000,2000,0,0,2000,0,5000,4000,0,0,0,0,5000
75,10000,0,10000,10000,0,8000,1000,0,5000,3000,0,0,3000,0,5000,5000,0,0,2000,0,5000
76,10000,0,11000,10000,0,10000,1000,0,5000,4000,0,0,4000,0,5000,6000,0,0,2000,0,5000
77,10000,0,12000,10000,0,10000,1000,0,5000,5000,0,0,5000,0,5000,7000,0,0,4000,0,5000
78,10000,0,13000,10000,0,12000,2000,0,5000,6000,0,0,6000,0,5000,8000,0,0,4000,0,5000
79,10000,0,14000,10000,0,12000,3000,0,5000,7000,0,0,7000,0,5000,8000,0,0,6000,0,5000
